,Empid,projectName,projectType,Tech_stack,startDate,endDate,role,Status
560,Emp_140,CyberLink,Fleet Management System,"['Java', 'Scrum', 'SQL', 'Continuous Integration']",2013-07-02,2024-04-26,Technical Writer,Approved
561,Emp_140,SilverLinx POS System,Mobile App,"['Statistical Analysis', 'Test-Driven Development', 'Node.js', 'Continuous Deployment']",1980-04-06,2024-04-12,Data Scientist,Approved
562,Emp_140,ByteBoost,Retail Management System,"['Prototyping', 'User Research', 'AWS', 'PostgreSQL']",1977-02-12,2024-04-08,Product Manager,Approved
563,Emp_140,SwiftShift Time Tracker,Human Resource Management System,"['User Research', 'Scrum', 'Statistical Analysis', 'Machine Learning']",1993-09-05,2024-04-13,Cybersecurity Specialist,Approved
564,Emp_141,InnovatePro,Task Management Tool,"['HTML', 'RESTful API', 'PHP', 'Kubernetes']",1990-02-27,2024-04-07,UI/UX Designer,Approved
565,Emp_141,DataWave,POS System,"['Kotlin', 'Interaction Design', 'Java', 'Objective-C']",1972-10-21,2024-04-22,Quality Assurance Engineer,Approved
566,Emp_141,Streamline Solutions CRM,Warehouse Management System,"['RESTful API', 'Wireframing', 'Scrum', 'Penetration Testing']",2017-01-18,2024-04-22,Cybersecurity Specialist,Approved
567,Emp_141,DataPulse,Payment Gateway,"['Network Security', 'GraphQL', 'Azure', 'Flask']",2016-11-06,2024-04-13,Technical Writer,Approved
568,Emp_142,PixelWorks,Desktop Software,"['Leadership', 'Statistical Analysis', 'Machine Learning', 'Containerization']",1995-02-19,2024-04-19,DevOps Engineer,Approved
569,Emp_142,DataWave,Dashboard Creator,"['RESTful API', 'Leadership', 'Business Analysis', 'GraphQL']",1972-08-18,2024-05-02,Designer,Approved
570,Emp_142,CodeCraft,Virtual Assistant,"['JavaScript', 'Penetration Testing', 'Swift', 'Network Security']",1981-07-23,2024-04-26,Network Engineer,Approved
571,Emp_142,DataPulse,Desktop Software,"['Artificial Intelligence', 'Penetration Testing', 'Java', 'Continuous Deployment']",2019-10-20,2024-04-11,Cybersecurity Specialist,Approved
572,Emp_143,NexGen Mobile Scheduler,Supply Chain Management Software,"['Cybersecurity', 'Swift', 'Node.js', 'Azure']",1974-02-24,2024-04-15,DevOps Engineer,Approved
573,Emp_143,DataForge Dashboard Creator,Booking System,"['Angular', 'JavaScript', 'Docker', 'Machine Learning']",1990-02-27,2024-05-01,Technical Writer,Approved
574,Emp_143,CodeCraft,Inventory Management System,"['Data Science', 'Docker', 'NoSQL', 'React']",1991-12-13,2024-04-28,Database Administrator,Approved
575,Emp_143,QuickTech Remote Support,Data Analyzer,"['HTML', 'Artificial Intelligence', 'Communication', 'Angular']",1993-06-01,2024-04-22,Machine Learning Engineer,Approved
576,Emp_144,DataLink Inventory Tracker,Virtual Assistant,"['Django', 'Google Cloud Platform', '.NET', 'Technical Writing']",1984-05-12,2024-04-08,Configuration Manager,Approved
577,Emp_144,SwiftCode,Web Application,"['Agile Product Management', 'Containerization', 'Test-Driven Development', 'C#']",2005-02-01,2024-04-19,Quality Assurance Engineer,Approved
578,Emp_144,DataBridge,Backup Solution,"['Objective-C', 'Vue.js', 'CI/CD', 'React']",1993-05-30,2024-04-27,Configuration Manager,Approved
579,Emp_144,LogicLane Project Tracker,Healthcare Management System,"['Behavior-Driven Development', 'MySQL', 'Artificial Intelligence', 'Wireframing']",2002-11-26,2024-04-26,Cloud Solutions Architect,Approved
580,Emp_145,MetaMind Chatbot Builder,Backup Solution,"['Prototyping', 'DevOps', 'Continuous Integration', 'Product Management']",1979-05-01,2024-05-01,Configuration Manager,Approved
581,Emp_145,LogicLane Project Tracker,Chatbot,"['Data Science', 'Technical Writing', 'Agile Methodologies', 'Docker']",1974-09-22,2024-04-26,Developer,Approved
582,Emp_145,DataWave,Inventory Management System,"['PHP', 'Troubleshooting', 'Communication', 'User Research']",2005-12-10,2024-04-08,Release Manager,Approved
583,Emp_145,PixelPlex Crypto Trader,Educational Software,"['User Research', 'C#', '.NET', 'Problem Solving']",1980-01-10,2024-04-14,Project Manager,Approved
584,Emp_146,EchoTech Task Manager,Virtual Assistant,"['Wireframing', 'Collaboration', 'Vue.js', 'Scrum']",2006-05-11,2024-05-05,Data Scientist,Approved
585,Emp_146,DataSync,Remote Support Tool,"['HTML', 'AWS', 'Interaction Design', 'Angular']",2013-01-13,2024-04-23,Automation Tester,Approved
586,Emp_146,SwiftShift Time Tracker,Accounting Software,"['Ruby', 'Network Security', 'Troubleshooting', 'Agile Product Management']",2015-09-06,2024-04-23,Machine Learning Engineer,Approved
587,Emp_146,CatalystCommerce,Warehouse Management System,"['Azure', 'Continuous Integration', 'Docker', 'Accessibility']",2021-03-01,2024-04-23,Automation Tester,Approved
588,Emp_147,DataBridge,Event Management Software,"['User Stories', 'Communication', 'Kotlin', 'Wireframing']",2015-09-14,2024-04-13,Performance Engineer,Approved
589,Emp_147,CyberCode Online Store,Mobile App,"['Ruby', 'Wireframing', 'Support', 'Docker']",1986-06-01,2024-05-01,Performance Engineer,Approved
590,Emp_147,CodeCraft,Data Analyzer,"['Git', 'Test-Driven Development', 'Scrum', 'MongoDB']",1988-06-23,2024-04-15,Product Manager,Approved
591,Emp_147,CyberTech,Healthcare Management System,"['Wireframing', 'Google Cloud Platform', 'Responsive Design', 'Information Security']",1989-05-29,2024-05-05,Performance Engineer,Approved
592,Emp_148,SwiftWave,Healthcare Management System,"['Information Security', 'React', 'Django', 'CSS']",2011-08-27,2024-04-15,Artificial Intelligence Engineer,Approved
593,Emp_148,InnovaTech,Social Networking Platform,"['Kotlin', 'Artificial Intelligence', 'Python', 'Agile Product Management']",1992-05-18,2024-04-13,Business Analyst,Approved
594,Emp_148,DataForge Dashboard Creator,Content Management System,"['Kubernetes', 'Network Security', 'Troubleshooting', 'Requirements Analysis']",1978-01-24,2024-05-04,Automation Tester,Approved
595,Emp_148,BlueFinity Evoke,Help Desk Software,"['User Stories', 'Troubleshooting', 'CSS', 'DevOps']",2009-01-22,2024-04-25,Cybersecurity Specialist,Approved
596,Emp_149,DataBridge,E-commerce Platform,"['Communication', 'Vue.js', 'PostgreSQL', 'Wireframing']",1986-10-15,2024-04-25,Designer,Approved
597,Emp_149,TechTrek Data Analyzer,Project Management Software,"['RESTful API', 'Java', 'PHP', 'SQL']",2010-11-08,2024-04-28,Performance Engineer,Approved
598,Emp_149,LogicLane Project Tracker,Customer Service Software,"['Microservices', 'MongoDB', 'Node.js', 'NoSQL']",1977-09-11,2024-04-17,Business Analyst,Approved
599,Emp_149,SwiftCode,Content Delivery Network,"['Collaboration', 'AWS', 'Scrum', 'Requirements Analysis']",1990-06-23,2024-04-19,Network Engineer,Approved
600,Emp_150,CyberLink,Budget Planner,"['Leadership', 'HTML', 'Product Management', 'Vue.js']",1970-09-05,2024-04-23,Product Manager,Approved
601,Emp_150,VortexVision Virtual Assistant,Payment Gateway,"['Cybersecurity', 'Leadership', 'Behavior-Driven Development', 'NoSQL']",2011-12-16,2024-05-03,Technical Architect,Approved
602,Emp_150,MetaMind Chatbot Builder,Ticketing System,"['Data Science', 'Business Analysis', 'Requirements Analysis', 'Statistical Analysis']",2003-10-10,2024-04-15,Cloud Solutions Architect,Approved
603,Emp_150,NexGen Mobile Scheduler,Appointment Scheduling Software,"['Docker', 'Objective-C', 'C#', 'Responsive Design']",1986-01-22,2024-04-11,Machine Learning Engineer,Approved
604,Emp_151,TechSpark,Appointment Scheduling Software,"['Business Analysis', 'Data Visualization', 'Agile Product Management', 'SQL']",2009-07-09,2024-04-19,Network Engineer,Approved
605,Emp_151,DataForge Dashboard Creator,Email Client,"['Interaction Design', 'Scrum', 'Technical Writing', 'Objective-C']",1973-09-13,2024-04-11,Project Manager,Approved
606,Emp_151,AgileWare,Budget Planner,"['RESTful API', 'Docker', 'HTML', 'Business Analysis']",2002-05-26,2024-04-25,Technical Architect,Approved
607,Emp_151,FusionSoft Email Client,Project Management Software,"['Containerization', 'Java', 'Angular', 'CSS']",2021-11-23,2024-04-24,DevOps Engineer,Approved
608,Emp_152,DataBridge,Crypto Trader,"['Requirements Analysis', 'Network Security', 'Documentation', 'Accessibility']",1985-07-02,2024-05-05,Technical Writer,Approved
609,Emp_152,Streamline Solutions CRM,Supply Chain Management Software,"['Product Management', 'Angular', 'Google Cloud Platform', 'Requirements Analysis']",1992-01-12,2024-04-09,Developer,Approved
610,Emp_152,FusionSoft Email Client,Content Delivery Network,"['Collaboration', 'Cryptography', 'C#', 'Machine Learning']",1974-10-01,2024-04-10,IT Support Specialist,Approved
611,Emp_152,PixelPulse,Content Delivery Network,"['C#', 'Machine Learning', 'Network Security', 'AWS']",1974-02-16,2024-04-24,DevOps Engineer,Approved
612,Emp_153,InnovateSoft Budget Planner,CRM System,"['Artificial Intelligence', 'CI/CD', 'Scrum', 'UI/UX Design']",1995-07-07,2024-05-04,Automation Tester,Approved
613,Emp_153,CyberCode Online Store,Virtual Assistant,"['Communication', 'Statistical Analysis', 'Continuous Deployment', 'Wireframing']",1994-01-08,2024-04-17,UI/UX Designer,Approved
614,Emp_153,DataPulse,Document Management System,"['Docker', 'MongoDB', 'Machine Learning', 'Django']",2008-04-15,2024-04-14,Database Administrator,Approved
615,Emp_153,ByteForge,Survey Software,"['Azure', 'Google Cloud Platform', 'HTML', 'Scrum']",2004-12-27,2024-04-16,IT Support Specialist,Approved
616,Emp_154,CodeCraft Web Builder,Fleet Management System,"['Technical Writing', 'Machine Learning', 'Cryptography', 'JavaScript']",2018-12-15,2024-05-05,Release Manager,Approved
617,Emp_154,CodeCraft,Fleet Management System,"['PHP', 'React', 'Python', 'Scrum']",1970-05-15,2024-04-28,Artificial Intelligence Engineer,Approved
618,Emp_154,TechSprint,Help Desk Software,"['Data Visualization', 'Ruby', 'Flask', 'Cybersecurity']",2014-03-10,2024-04-27,Cybersecurity Specialist,Approved
619,Emp_154,PixelWare,Project Management Software,"['Product Management', 'SQL', 'CSS', 'UI/UX Design']",2009-07-22,2024-04-30,Developer,Approved
620,Emp_155,DataCraft,POS System,"['Communication', 'Django', 'Problem Solving', 'Collaboration']",1970-06-28,2024-04-09,Cloud Solutions Architect,Approved
621,Emp_155,LogicLane Project Tracker,Supply Chain Management Software,"['Statistical Analysis', 'CSS', 'Accessibility', 'Agile Product Management']",1999-11-21,2024-05-03,Data Scientist,Approved
622,Emp_155,CyberCode Online Store,Mobile App,"['Agile Product Management', 'Statistical Analysis', 'Python', 'Artificial Intelligence']",1988-04-22,2024-04-07,Data Scientist,Approved
623,Emp_155,SilverLinx POS System,Social Networking Platform,"['Problem Solving', 'Node.js', 'Test-Driven Development', 'User Stories']",1982-11-16,2024-04-16,Cybersecurity Specialist,Approved
624,Emp_156,TechTrek Data Analyzer,Healthcare Management System,"['Data Analysis', 'Cryptography', 'CI/CD', 'DevOps']",2003-04-04,2024-04-13,Release Manager,Approved
625,Emp_156,QuickTech Remote Support,Event Management Software,"['Interaction Design', 'Information Security', 'Scrum', 'Technical Writing']",1973-09-08,2024-04-08,Business Analyst,Approved
626,Emp_156,DataLink Inventory Tracker,Virtual Assistant,"['Network Security', 'Artificial Intelligence', 'React', 'MongoDB']",1987-10-05,2024-04-07,Designer,Approved
627,Emp_156,CodeCraft Web Builder,Supply Chain Management Software,"['RESTful API', 'Product Management', 'SQL', 'Django']",2020-02-29,2024-04-12,IT Support Specialist,Approved
628,Emp_157,EchoTech Task Manager,Learning Management System,"['CI/CD', 'Agile Methodologies', 'Responsive Design', 'CSS']",2023-04-04,2024-04-18,Automation Tester,Approved
629,Emp_157,InnovatePro,Asset Management System,"['HTML', 'Google Cloud Platform', 'Microservices', 'Kubernetes']",2023-01-26,2024-04-23,UI/UX Designer,Approved
630,Emp_157,CodeCraft Web Builder,E-commerce Platform,"['AWS', 'User Stories', 'GraphQL', 'Wireframing']",2012-08-02,2024-04-07,Release Manager,Approved
631,Emp_157,InnovaTech,Accounting Software,"['Scrum', 'NoSQL', 'Python', 'Cybersecurity']",2002-10-02,2024-05-03,Configuration Manager,Approved
632,Emp_158,PixelWare,Project Management Software,"['JavaScript', 'PostgreSQL', 'Communication', 'Data Science']",2019-01-31,2024-04-20,Technical Architect,Approved
633,Emp_158,CyberCode Online Store,Inventory Control System,"['C#', 'Penetration Testing', 'Continuous Deployment', 'Cryptography']",1999-07-29,2024-05-04,Project Manager,Approved
634,Emp_158,AgileFlow,Remote Support Tool,"['Swift', 'Penetration Testing', 'Agile Product Management', 'Git']",2000-08-26,2024-04-09,Automation Tester,Approved
635,Emp_158,CyberLink,Healthcare Management System,"['Google Cloud Platform', 'Agile Methodologies', 'Responsive Design', 'Continuous Integration']",2020-11-26,2024-04-27,Business Analyst,Approved
636,Emp_159,LogicLane Project Tracker,Sales Forecasting Software,"['MongoDB', 'AWS', 'Network Security', 'Interaction Design']",1976-12-26,2024-04-22,Developer,Approved
637,Emp_159,QuickTech Remote Support,Data Visualization Tool,"['Continuous Deployment', 'Data Analysis', 'AWS', 'PostgreSQL']",1984-05-05,2024-04-07,Network Engineer,Approved
638,Emp_159,ByteBoost,Human Resource Management System,"['CSS', 'Data Analysis', 'Kotlin', 'Statistical Analysis']",1984-10-30,2024-05-01,Artificial Intelligence Engineer,Approved
639,Emp_159,DataSync,Time Tracking Tool,"['Support', 'Microservices', 'Azure', 'Wireframing']",2015-06-24,2024-04-22,Cybersecurity Specialist,Approved
640,Emp_160,ByteForge,Inventory Control System,"['SQL', 'MySQL', 'Cryptography', 'Angular']",1980-02-10,2024-04-21,Technical Writer,Approved
641,Emp_160,TechTrek Data Analyzer,Inventory Control System,"['Java', 'PHP', 'PostgreSQL', 'Wireframing']",1975-07-11,2024-04-29,Technical Architect,Approved
642,Emp_160,TechSprint,Survey Software,"['Git', 'CI/CD', 'Wireframing', 'Data Analysis']",2013-11-25,2024-04-27,UI/UX Designer,Approved
643,Emp_160,ByteBoost,Retail Management System,"['Interaction Design', 'Microservices', 'Scrum', 'Wireframing']",1978-02-20,2024-04-26,Data Scientist,Approved
644,Emp_161,TechNova Backup Solution,Project Management Software,"['Collaboration', 'PHP', 'Data Science', 'Prototyping']",1994-04-03,2024-04-14,Technical Architect,Approved
645,Emp_161,ByteForge,Event Management Software,"['Django', 'Prototyping', 'Wireframing', 'Machine Learning']",2019-02-02,2024-04-23,Configuration Manager,Approved
646,Emp_161,AgileFlow,Crypto Trader,"['.NET', 'GraphQL', 'Network Security', 'Technical Writing']",2006-07-21,2024-05-04,Cloud Solutions Architect,Approved
647,Emp_161,TechSprint,Supply Chain Management Software,"['Kubernetes', 'Node.js', 'Technical Writing', 'Communication']",2012-08-01,2024-05-02,Technical Writer,Approved
648,Emp_162,SwiftWave,Workflow Management Software,"['Data Visualization', 'Data Analysis', 'Agile Product Management', 'Git']",1977-05-13,2024-04-09,Cloud Solutions Architect,Approved
649,Emp_162,PixelPlex Crypto Trader,Email Client,"['User Research', 'Scrum', 'Behavior-Driven Development', 'Information Security']",1970-01-21,2024-05-02,UI/UX Designer,Approved
650,Emp_162,CyberLink,Survey Software,"['User Stories', 'Documentation', 'GraphQL', 'Support']",2015-12-19,2024-04-08,Machine Learning Engineer,Approved
651,Emp_162,SwiftShift Time Tracker,Healthcare Management System,"['RESTful API', 'Vue.js', 'Collaboration', 'PHP']",1985-09-10,2024-04-09,Configuration Manager,Approved
652,Emp_163,EchoTech Task Manager,Time Tracking Tool,"['CI/CD', 'Communication', 'Kubernetes', 'Kotlin']",1990-03-13,2024-05-02,Automation Tester,Approved
653,Emp_163,DataLink Inventory Tracker,Survey Software,"['PHP', 'Continuous Deployment', 'Cryptography', 'Interaction Design']",1990-03-25,2024-04-11,Database Administrator,Approved
654,Emp_163,LogicLane Project Tracker,Backup Solution,"['Vue.js', 'RESTful API', 'Containerization', 'Django']",2017-03-29,2024-05-01,Configuration Manager,Approved
655,Emp_163,DataSync,Survey Software,"['Wireframing', 'HTML', 'Prototyping', 'Vue.js']",1978-06-25,2024-04-22,Technical Writer,Approved
656,Emp_164,DataPulse,Mobile App,"['Information Security', 'Communication', 'Vue.js', 'Behavior-Driven Development']",2008-11-06,2024-04-21,Release Manager,Approved
657,Emp_164,DataBridge,Asset Management System,"['Wireframing', 'Docker', 'Troubleshooting', 'Documentation']",1983-12-25,2024-04-19,Business Analyst,Approved
658,Emp_164,FusionSoft Email Client,Email Client,"['Artificial Intelligence', 'Django', 'Agile Product Management', 'C#']",1995-06-17,2024-04-20,Technical Architect,Approved
659,Emp_164,CatalystCommerce,Human Resource Management System,"['Scrum', 'Penetration Testing', 'DevOps', 'Accessibility']",2011-04-22,2024-05-05,DevOps Engineer,Approved
660,Emp_165,InnovatePro,Remote Support Tool,"['Statistical Analysis', 'Behavior-Driven Development', 'Business Analysis', 'Flask']",2006-08-04,2024-04-17,Product Manager,Approved
661,Emp_165,EchoTech Task Manager,Warehouse Management System,"['Artificial Intelligence', 'Docker', 'Leadership', 'Kubernetes']",1998-04-08,2024-05-02,IT Support Specialist,Approved
662,Emp_165,NexGen Mobile Scheduler,Inventory Management System,"['Node.js', 'AWS', 'Kubernetes', '.NET']",1970-03-19,2024-04-09,Technical Writer,Approved
663,Emp_165,DataPulse,Fleet Management System,"['Collaboration', 'JavaScript', 'Behavior-Driven Development', 'Accessibility']",1983-10-11,2024-04-08,DevOps Engineer,Approved
664,Emp_166,CyberLink,Budget Planner,"['Git', 'Penetration Testing', 'NoSQL', '.NET']",1987-10-17,2024-05-03,DevOps Engineer,Approved
665,Emp_166,CatalystCommerce,Fleet Management System,"['JavaScript', 'Accessibility', 'Collaboration', 'Statistical Analysis']",2018-05-08,2024-04-09,Business Analyst,Approved
666,Emp_166,AgileWare,Appointment Scheduling Software,"['Vue.js', 'Django', 'Prototyping', 'Python']",2007-10-03,2024-05-04,UI/UX Designer,Approved
667,Emp_166,PixelPlex Crypto Trader,Data Analyzer,"['Communication', 'Python', 'SQL', 'RESTful API']",1997-12-27,2024-04-09,Quality Assurance Engineer,Approved
668,Emp_167,NexGen Mobile Scheduler,Time Tracking Tool,"['Node.js', 'Continuous Deployment', 'Django', 'Product Management']",1993-02-19,2024-04-24,DevOps Engineer,Approved
669,Emp_167,TechTrek Data Analyzer,Crypto Trader,"['Problem Solving', 'Microservices', 'Wireframing', 'Google Cloud Platform']",1988-07-08,2024-04-25,Designer,Approved
670,Emp_167,PixelWorks,Social Networking Platform,"['Machine Learning', 'HTML', 'Prototyping', 'Business Analysis']",2020-08-21,2024-04-29,Database Administrator,Approved
671,Emp_167,CatalystCommerce,Fleet Management System,"['Flask', '.NET', 'Penetration Testing', 'Artificial Intelligence']",1995-01-29,2024-04-11,Machine Learning Engineer,Approved
672,Emp_168,QuickTech Remote Support,Workflow Management Software,"['Documentation', 'CI/CD', 'Git', 'React']",2020-03-27,2024-04-17,Data Scientist,Approved
673,Emp_168,SwiftShift Time Tracker,Appointment Scheduling Software,"['RESTful API', 'Continuous Integration', 'Agile Product Management', 'NoSQL']",2013-08-28,2024-05-03,Machine Learning Engineer,Approved
674,Emp_168,ByteBlitz Document Manager,Help Desk Software,"['MongoDB', 'Technical Writing', 'Interaction Design', 'Objective-C']",1992-11-14,2024-04-08,Cloud Solutions Architect,Approved
675,Emp_168,ByteBoost,Email Client,"['Accessibility', 'CI/CD', 'CSS', 'Requirements Analysis']",2009-12-25,2024-04-14,Quality Assurance Engineer,Approved
676,Emp_169,SwiftShift Time Tracker,Asset Management System,"['CI/CD', 'Penetration Testing', 'Statistical Analysis', 'NoSQL']",1978-11-01,2024-04-19,Database Administrator,Approved
677,Emp_169,MetaMind Chatbot Builder,Remote Support Tool,"['Scrum', 'Network Security', 'Agile Product Management', 'Technical Writing']",2016-07-02,2024-04-23,Machine Learning Engineer,Approved
678,Emp_169,LogicLane Project Tracker,Content Delivery Network,"['Node.js', 'Support', 'JavaScript', 'Scrum']",1996-12-15,2024-05-01,Cloud Solutions Architect,Approved
679,Emp_169,QuickTech Remote Support,Content Management System,"['Technical Writing', 'JavaScript', 'Documentation', 'Support']",2016-12-10,2024-04-21,DevOps Engineer,Approved
680,Emp_170,TechNova Backup Solution,Dashboard Creator,"['C#', 'Ruby', 'Product Management', 'Agile Methodologies']",1979-04-23,2024-04-10,Technical Architect,Approved
681,Emp_170,EchoTech Task Manager,Educational Software,"['AWS', 'HTML', 'Agile Methodologies', 'Statistical Analysis']",1993-12-21,2024-04-08,UI/UX Designer,Approved
682,Emp_170,PixelWorks,Inventory Management System,"['Prototyping', 'Azure', 'Artificial Intelligence', 'Angular']",2012-05-08,2024-04-16,Business Analyst,Approved
683,Emp_170,SwiftCode,Mobile App,"['Docker', 'Accessibility', 'Communication', 'Requirements Analysis']",1980-11-13,2024-04-09,Network Engineer,Approved
684,Emp_171,CyberTech,Mobile App,"['Machine Learning', 'Ruby', 'Problem Solving', 'Flask']",1984-06-09,2024-04-07,Designer,Approved
685,Emp_171,PixelPulse,Healthcare Management System,"['Angular', 'Collaboration', 'MongoDB', 'Flask']",1981-06-12,2024-04-12,Quality Assurance Engineer,Approved
686,Emp_171,BlueFinity Evoke,Mobile App,"['Information Security', 'Docker', 'PostgreSQL', 'Leadership']",1993-05-23,2024-04-14,Designer,Approved
687,Emp_171,ByteBlitz Document Manager,Crypto Trader,"['Git', 'Documentation', 'Statistical Analysis', 'CSS']",2016-07-17,2024-04-15,Project Manager,Approved
688,Emp_172,PixelPulse,Crypto Trader,"['Support', 'HTML', 'Communication', 'Troubleshooting']",1987-10-20,2024-04-28,Designer,Approved
689,Emp_172,FusionSoft Email Client,Backup Solution,"['CSS', 'CI/CD', 'Angular', 'Interaction Design']",2015-02-12,2024-04-07,Configuration Manager,Approved
690,Emp_172,AgileWare,Remote Support Tool,"['Wireframing', 'Scrum', 'UI/UX Design', 'User Stories']",1994-03-04,2024-04-18,Technical Architect,Approved
691,Emp_172,InnovaTech,Virtual Assistant,"['Java', 'Objective-C', 'User Research', 'Agile Methodologies']",2016-04-03,2024-05-05,Configuration Manager,Approved
692,Emp_173,MetaMind Chatbot Builder,Time Tracking Tool,"['Scrum', 'Flask', 'Microservices', 'Docker']",2000-06-25,2024-05-05,DevOps Engineer,Approved
693,Emp_173,SwiftWave,Human Resource Management System,"['DevOps', 'RESTful API', 'Continuous Deployment', 'Test-Driven Development']",1988-02-02,2024-04-25,Automation Tester,Approved
694,Emp_173,CatalystCommerce,Dashboard Creator,"['Information Security', 'Kubernetes', 'Penetration Testing', 'Support']",1982-03-10,2024-04-21,Project Manager,Approved
695,Emp_173,TechTrek Data Analyzer,Accounting Software,"['Objective-C', 'Responsive Design', 'Penetration Testing', 'Data Analysis']",1975-04-16,2024-04-29,Project Manager,Approved
696,Emp_174,CyberTech,Desktop Software,"['Test-Driven Development', 'Angular', 'Technical Writing', 'User Stories']",1975-01-26,2024-04-07,Network Engineer,Approved
697,Emp_174,QuickTech Remote Support,Retail Management System,"['Support', 'User Stories', 'Cryptography', 'Requirements Analysis']",1981-11-04,2024-04-18,Performance Engineer,Approved
698,Emp_174,InnovatePro,Warehouse Management System,"['Statistical Analysis', 'Technical Writing', 'Continuous Deployment', 'Support']",1987-04-15,2024-04-25,Technical Architect,Approved
699,Emp_174,Streamline Solutions CRM,Data Analyzer,"['Product Management', 'Data Visualization', 'Java', '.NET']",1993-01-14,2024-04-22,Designer,Approved
700,Emp_175,BlueFinity Evoke,POS System,"['PostgreSQL', 'Information Security', 'Test-Driven Development', 'Business Analysis']",2002-06-19,2024-04-13,Project Manager,Approved
701,Emp_175,VortexVision Virtual Assistant,Data Analyzer,"['Vue.js', 'Python', 'Collaboration', 'Artificial Intelligence']",1989-11-24,2024-04-09,Automation Tester,Approved
702,Emp_175,InnovatePro,Retail Management System,"['AWS', 'GraphQL', 'User Stories', 'PostgreSQL']",1976-03-02,2024-05-01,DevOps Engineer,Approved
703,Emp_175,DataForge Dashboard Creator,Virtual Assistant,"['Containerization', 'Azure', 'Requirements Analysis', 'JavaScript']",2006-08-13,2024-04-07,Technical Architect,Approved
704,Emp_176,TechNova Backup Solution,Dashboard Creator,"['UI/UX Design', 'Data Science', 'Communication', 'Microservices']",2018-04-29,2024-04-28,Cloud Solutions Architect,Approved
705,Emp_176,DataForge Dashboard Creator,Ticketing System,"['Responsive Design', 'Python', 'Support', 'Communication']",1979-09-18,2024-04-10,Cybersecurity Specialist,Approved
706,Emp_176,AgileTech,Event Management Software,"['DevOps', 'Interaction Design', 'Vue.js', 'SQL']",2005-05-05,2024-04-21,Performance Engineer,Approved
707,Emp_176,InnovateSoft Budget Planner,Content Delivery Network,"['Support', 'Continuous Integration', 'Kubernetes', 'Problem Solving']",2004-01-07,2024-04-17,Performance Engineer,Approved
708,Emp_177,NexGen Mobile Scheduler,Data Visualization Tool,"['Agile Product Management', 'Responsive Design', 'Statistical Analysis', 'Scrum']",2008-03-13,2024-04-09,IT Support Specialist,Approved
709,Emp_177,DataPulse,Time Tracking Tool,"['Penetration Testing', 'Continuous Deployment', 'Vue.js', 'DevOps']",1996-01-13,2024-04-28,Cybersecurity Specialist,Approved
710,Emp_177,ByteBlitz Document Manager,Inventory Control System,"['UI/UX Design', 'Java', 'Requirements Analysis', 'Data Science']",1986-02-18,2024-05-01,IT Support Specialist,Approved
711,Emp_177,TechSprint,Content Delivery Network,"['PostgreSQL', 'Behavior-Driven Development', 'User Stories', 'Containerization']",1986-02-24,2024-04-24,Technical Architect,Approved
712,Emp_178,TechSpark,Project Management Software,"['C#', 'Microservices', 'CI/CD', 'Network Security']",2017-12-19,2024-05-03,Database Administrator,Approved
713,Emp_178,CyberTech,Web Application,"['MongoDB', 'Azure', 'Behavior-Driven Development', 'RESTful API']",1985-12-30,2024-04-23,Project Manager,Approved
714,Emp_178,ByteBlitz Document Manager,Project Management Software,"['Continuous Integration', 'C#', 'Agile Product Management', 'PostgreSQL']",2024-04-03,2024-04-23,Technical Architect,Approved
715,Emp_178,DataBridge,Customer Service Software,"['Kubernetes', 'Scrum', 'Cryptography', 'Cybersecurity']",2003-03-17,2024-04-20,DevOps Engineer,Approved
716,Emp_179,TechTrek Data Analyzer,Booking System,"['Cybersecurity', 'Ruby', 'Leadership', 'Collaboration']",1974-01-16,2024-05-01,Designer,Approved
717,Emp_179,DataPulse,Data Analyzer,"['Angular', 'CSS', 'Wireframing', 'Python']",1994-06-26,2024-04-27,Project Manager,Approved
718,Emp_179,QuickTech Remote Support,Project Management Software,"['Data Analysis', 'Accessibility', 'Machine Learning', 'C#']",2008-06-30,2024-04-19,DevOps Engineer,Approved
719,Emp_179,PixelWorks,Crypto Trader,"['Wireframing', 'Statistical Analysis', 'Problem Solving', 'UI/UX Design']",1984-11-03,2024-04-17,Performance Engineer,Approved
720,Emp_180,TechSprint,Inventory Management System,"['Google Cloud Platform', 'NoSQL', 'AWS', 'User Research']",1985-03-25,2024-04-07,Network Engineer,Approved
721,Emp_180,PixelWare,Budget Planner,"['DevOps', 'Flask', 'User Research', 'Artificial Intelligence']",2009-10-25,2024-05-03,Artificial Intelligence Engineer,Approved
722,Emp_180,DataPulse,Inventory Management System,"['Java', 'Data Science', 'NoSQL', 'Penetration Testing']",2003-09-19,2024-04-10,Quality Assurance Engineer,Approved
723,Emp_180,DataLink Inventory Tracker,Inventory Control System,"['Kotlin', 'Angular', 'Flask', 'RESTful API']",2013-05-10,2024-05-01,Artificial Intelligence Engineer,Approved
724,Emp_181,SwiftWave,E-commerce Platform,"['UI/UX Design', 'JavaScript', 'Statistical Analysis', 'Information Security']",1977-01-09,2024-04-14,Technical Writer,Approved
725,Emp_181,QuickTech Remote Support,Sales Forecasting Software,"['Vue.js', 'Test-Driven Development', 'Google Cloud Platform', 'User Stories']",2014-12-26,2024-04-07,Release Manager,Approved
